epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,5612.37,2.87016,2.72395,2.87938,0.65098,0.07639,0.10497,0.02846,2.57147,3.86457,3.80827,0.0002575,0.0002575,0.0002575
77,5676.05,2.95503,2.68558,2.8425,0.65098,0.07639,0.10497,0.02846,2.57147,3.86457,3.80827,0.0002476,0.0002476,0.0002476
78,5743.2,2.85775,2.61055,2.93362,0.48292,0.07639,0.10611,0.0281,2.57369,3.83132,3.7854,0.0002377,0.0002377,0.0002377
79,5826.68,2.85271,2.65262,2.87822,0.2933,0.07639,0.10669,0.02767,2.55427,3.80593,3.75817,0.0002278,0.0002278,0.0002278
80,5900.1,2.79114,2.60055,2.73248,0.34004,0.09722,0.10194,0.03028,2.52218,3.7975,3.74039,0.0002179,0.0002179,0.0002179
81,5971.71,2.83969,2.58302,2.76823,0.34004,0.09722,0.10194,0.03028,2.52218,3.7975,3.74039,0.000208,0.000208,0.000208
82,6044.39,2.73283,2.49076,2.75002,0.3716,0.09722,0.10916,0.03305,2.51653,3.80467,3.75182,0.0001981,0.0001981,0.0001981
83,6126.5,2.81307,2.66509,2.76871,0.38107,0.04167,0.06064,0.02828,2.48783,3.78399,3.73806,0.0001882,0.0001882,0.0001882
84,6193.29,2.83202,2.68946,2.77712,0.21298,0.04167,0.06064,0.0279,2.48554,3.80127,3.73758,0.0001783,0.0001783,0.0001783
85,6257.99,2.8312,2.54265,2.80601,0.21298,0.04167,0.06064,0.0279,2.48554,3.80127,3.73758,0.0001684,0.0001684,0.0001684
86,6328.85,2.77239,2.65056,2.78614,0.24037,0.0625,0.07094,0.02625,2.53382,3.82631,3.74042,0.0001585,0.0001585,0.0001585
87,6398.07,2.70816,2.48904,2.75297,0.28139,0.0625,0.06611,0.02533,2.56823,3.8345,3.73594,0.0001486,0.0001486,0.0001486
88,6463.12,2.72549,2.54113,2.72556,0.29599,0.0625,0.06521,0.01984,2.56865,3.84174,3.74796,0.0001387,0.0001387,0.0001387
89,6529.27,2.82198,2.49787,2.68843,0.29599,0.0625,0.06521,0.01984,2.56865,3.84174,3.74796,0.0001288,0.0001288,0.0001288
90,6595.59,2.71055,2.52503,2.72146,0.22281,0.03492,0.0606,0.01575,2.5708,3.84883,3.75739,0.0001189,0.0001189,0.0001189
91,6657.6,2.68551,3.42097,2.59621,0.25526,0.05509,0.05584,0.01608,2.56479,3.84152,3.7493,0.000109,0.000109,0.000109
92,6716.63,2.68956,3.17624,2.71495,0.38732,0.04167,0.04686,0.01641,2.57879,3.83265,3.73101,9.91e-05,9.91e-05,9.91e-05
93,6784.1,2.60243,3.06387,2.65264,0.38732,0.04167,0.04686,0.01641,2.57879,3.83265,3.73101,8.92e-05,8.92e-05,8.92e-05
94,6858.44,2.77383,3.01341,2.66919,0.39159,0.05342,0.03624,0.01161,2.59685,3.83066,3.71748,7.93e-05,7.93e-05,7.93e-05
95,6926.39,2.59352,2.85701,2.63932,0.38905,0.04167,0.03338,0.01203,2.62074,3.85799,3.73041,6.94e-05,6.94e-05,6.94e-05
96,6995.04,2.61006,2.88544,2.70006,0.25882,0.0625,0.04356,0.01318,2.63098,3.86047,3.72664,5.95e-05,5.95e-05,5.95e-05
97,7062.98,2.58748,2.94884,2.67398,0.25882,0.0625,0.04356,0.01318,2.63098,3.86047,3.72664,4.96e-05,4.96e-05,4.96e-05
98,7135.66,2.66891,2.91249,2.7462,0.25454,0.0625,0.04642,0.01378,2.61333,3.87478,3.72366,3.97e-05,3.97e-05,3.97e-05
99,7201.38,2.54971,2.8576,2.65143,0.25797,0.0625,0.04623,0.01385,2.59686,3.87471,3.71707,2.98e-05,2.98e-05,2.98e-05
100,7276.49,2.59247,2.87066,2.64585,0.2587,0.0625,0.04831,0.01404,2.60184,3.88737,3.71782,1.99e-05,1.99e-05,1.99e-05
